lazy_image,lazy_image/_alt,schedulegame_value_1,schedulegame_value_1_numbers,tba_label,schedule_value,schedulegame_content,schedulegame_link,schedulegame_link/_text,schedulegame_link/_title,schedulegame_value_2
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/Tulane_.png&width=50&height=50","Tulane","2.19.16","2.19","TBA","","Tulane","http://www.tulanegreenwave.com/","Tulane","","New Orleans, La."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/Tulane_.png&width=50&height=50","Tulane","2.20.16","2.2","TBA","","Tulane","http://www.tulanegreenwave.com/","Tulane","","New Orleans, La."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/Tulane_.png&width=50&height=50","Tulane","2.21.16","2.21","TBA","","Tulane","http://www.tulanegreenwave.com/","Tulane","","New Orleans, La."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/florida_gulf_coast.png&width=50&height=50","Florida Gulf Coast","2.26.16","2.26","TBA","","Florida Gulf Coast","http://www.fgcuathletics.com/","Florida Gulf Coast","","Fort Myers, Fla."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/florida_gulf_coast.png&width=50&height=50","Florida Gulf Coast","2.27.16","2.27","TBA","","Florida Gulf Coast","http://www.fgcuathletics.com/","Florida Gulf Coast","","Fort Myers, Fla."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/florida_gulf_coast.png&width=50&height=50","Florida Gulf Coast","2.28.16","2.28","TBA","","Florida Gulf Coast","http://www.fgcuathletics.com/","Florida Gulf Coast","","Fort Myers, Fla."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/site/site.png&width=50&height=50&grayscale=True","Stetson Tournament","3.4.16","3.4","TBA","","Stetson Tournament","","","","DeLand, Fla."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/site/site.png&width=50&height=50&grayscale=True","Stetson Tournament","3.5.16","3.5","TBA","","Stetson Tournament","","","","DeLand, Fla."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/site/site.png&width=50&height=50&grayscale=True","Stetson Tournament","3.6.16","3.6","TBA","","Stetson Tournament","","","","DeLand, Fla."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/site/site.png&width=50&height=50&grayscale=True","Coastal Carolina Tournament","3.11.16","3.11","TBA","","Coastal Carolina Tournament","","","","Myrtle Beach, S.C."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/site/site.png&width=50&height=50&grayscale=True","Coastal Carolina Tournament","3.12.16","3.12","TBA","","Coastal Carolina Tournament","","","","Myrtle Beach, S.C."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/site/site.png&width=50&height=50&grayscale=True","Coastal Carolina Tournament","3.12.16","3.12","TBA","","Coastal Carolina Tournament","","","","Myrtle Beach, S.C."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/site/site.png&width=50&height=50&grayscale=True","Coastal Carolina Tournament","3.13.16","3.13","TBA","","Coastal Carolina Tournament","","","","Myrtle Beach, S.C."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/Southern-Illinois.png&width=50&height=50","Southern Illinois","3.18.16","3.18","TBA","","Southern Illinois","http://www.siusalukis.com","Southern Illinois","","Carbondale, Ill."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/Southern-Illinois.png&width=50&height=50","Southern Illinois","3.19.16","3.19","TBA","","Southern Illinois","http://www.siusalukis.com","Southern Illinois","","Carbondale, Ill."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/Southern-Illinois.png&width=50&height=50","Southern Illinois","3.20.16","3.2","TBA","","Southern Illinois","http://www.siusalukis.com","Southern Illinois","","Carbondale, Ill."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/Illinois_State.png&width=50&height=50","Illinois State","3.22.16","3.22","TBA","","Illinois State","http://goredbirds.com","Illinois State","","Normal, Ill."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/PSU.png&width=50&height=50","Penn State","3.25.16","3.25","TBA","Big Ten","Penn State","http://www.gopsusports.com/","Penn State","","Champaign, Ill."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/PSU.png&width=50&height=50","Penn State","3.26.16","3.26","TBA","Big Ten","Penn State","http://www.gopsusports.com/","Penn State","","Champaign, Ill."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/PSU.png&width=50&height=50","Penn State","3.27.16","3.27","TBA","Big Ten","Penn State","http://www.gopsusports.com/","Penn State","","Champaign, Ill."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/Indiana-State.png&width=50&height=50","Indiana State","3.29.16","3.29","TBA","","Indiana State","http://www.gosycamores.com/","Indiana State","","Terre Haute, Ind."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/Nebraska.png&width=50&height=50","Nebraska","4.1.16","4.1","TBA","Big Ten","Nebraska","http://www.huskers.com","Nebraska","","Lincoln, Neb."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/Nebraska.png&width=50&height=50","Nebraska","4.2.16","4.2","TBA","Big Ten","Nebraska","http://www.huskers.com","Nebraska","","Lincoln, Neb."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/Nebraska.png&width=50&height=50","Nebraska","4.3.16","4.3","TBA","Big Ten","Nebraska","http://www.huskers.com","Nebraska","","Lincoln, Neb."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/f13.png&width=50&height=50","Eastern Illinois","4.5.16","4.5","TBA","","Eastern Illinois","http://www.eiupanthers.com/","Eastern Illinois","","Champaign, Ill."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/Iowa.png&width=50&height=50","Iowa","4.8.16","4.8","TBA","Big Ten","Iowa","http://www.hawkeyesports.com/","Iowa","","Iowa City, Iowa"
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/Iowa.png&width=50&height=50","Iowa","4.9.16","4.9","TBA","Big Ten","Iowa","http://www.hawkeyesports.com/","Iowa","","Iowa City, Iowa"
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/Iowa.png&width=50&height=50","Iowa","4.10.16","4.1","TBA","Big Ten","Iowa","http://www.hawkeyesports.com/","Iowa","","Iowa City, Iowa"
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/Illinois_State.png&width=50&height=50","Illinois State","4.12.16","4.12","TBA","","Illinois State","http://goredbirds.com","Illinois State","","Champaign, Ill."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/StLouBillLogo.png&width=50&height=50","Saint Louis","4.15.16","4.15","TBA","","Saint Louis","http://slubillikens.cstv.com/","Saint Louis","","Champaign, Ill."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/StLouBillLogo.png&width=50&height=50","Saint Louis","4.16.16","4.16","TBA","","Saint Louis","http://slubillikens.cstv.com/","Saint Louis","","Champaign, Ill."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/StLouBillLogo.png&width=50&height=50","Saint Louis","4.17.16","4.17","TBA","","Saint Louis","http://slubillikens.cstv.com/","Saint Louis","","Champaign, Ill."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/f13.png&width=50&height=50","Eastern Illinois","4.19.16","4.19","TBA","","Eastern Illinois","http://www.eiupanthers.com/","Eastern Illinois","","Charleston, Ill."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/ohio_state_logo.png&width=50&height=50","Ohio State","4.22.16","4.22","TBA","Big Ten","Ohio State","http://www.ohiostatebuckeyes.com","Ohio State","","Champaign, Ill."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/ohio_state_logo.png&width=50&height=50","Ohio State","4.23.16","4.23","TBA","Big Ten","Ohio State","http://www.ohiostatebuckeyes.com","Ohio State","","Champaign, Ill."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/ohio_state_logo.png&width=50&height=50","Ohio State","4.24.16","4.24","TBA","Big Ten","Ohio State","http://www.ohiostatebuckeyes.com","Ohio State","","Champaign, Ill."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/Minnesota.png&width=50&height=50","Minnesota","4.29.16","4.29","TBA","Big Ten","Minnesota","http://www.gophersports.com","Minnesota","","Champaign, Ill."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/Minnesota.png&width=50&height=50","Minnesota","4.30.16","4.3","TBA","Big Ten","Minnesota","http://www.gophersports.com","Minnesota","","Champaign, Ill."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/Minnesota.png&width=50&height=50","Minnesota","5.1.16","5.1","TBA","Big Ten","Minnesota","http://www.gophersports.com","Minnesota","","Champaign, Ill."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/Missouri.png&width=50&height=50","Missouri","5.3.16","5.3","TBA","","Missouri","http:///www.mutigers.com","Missouri","","Sauget, Ill."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/Southern-Illinois.png&width=50&height=50","Southern Illinois","5.4.16","5.4","TBA","","Southern Illinois","http://www.siusalukis.com","Southern Illinois","","Champaign, Ill."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/Maryland.png&width=50&height=50","Maryland","5.6.16","5.6","TBA","Big Ten","Maryland","http://www.umterps.com/","Maryland","","College Park, Md."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/Maryland.png&width=50&height=50","Maryland","5.7.16","5.7","TBA","Big Ten","Maryland","http://www.umterps.com/","Maryland","","College Park, Md."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/Maryland.png&width=50&height=50","Maryland","5.8.16","5.8","TBA","Big Ten","Maryland","http://www.umterps.com/","Maryland","","College Park, Md."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/Indiana-University.png&width=50&height=50","Indiana","5.13.16","5.13","TBA","Big Ten","Indiana","http://www.iuhoosiers.com/","Indiana","","Bloomington, Ind."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/Indiana-University.png&width=50&height=50","Indiana","5.14.16","5.14","TBA","Big Ten","Indiana","http://www.iuhoosiers.com/","Indiana","","Bloomington, Ind."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/Indiana-University.png&width=50&height=50","Indiana","5.15.16","5.15","TBA","Big Ten","Indiana","http://www.iuhoosiers.com/","Indiana","","Bloomington, Ind."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/Michigan_GoldM.png&width=50&height=50","Michigan","5.20.16","5.2","TBA","Big Ten","Michigan","http://www.mgoblue.com/","Michigan","","Champaign, Ill."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/Michigan_GoldM.png&width=50&height=50","Michigan","5.21.16","5.21","TBA","Big Ten","Michigan","http://www.mgoblue.com/","Michigan","","Champaign, Ill."
"http://fightingillini.com/services/logo_handler.ashx?image_path=/images/logos/Michigan_GoldM.png&width=50&height=50","Michigan","5.22.16","5.22","TBA","Big Ten","Michigan","http://www.mgoblue.com/","Michigan","","Champaign, Ill."